Internal name	Serial	ROM size (MBit)	 Complement	CRC32	Memory type	RAM size (KBit) 
EZ-TALK	AGB-A22J-JPN	64	E1	D256F6F7	SRAM_V110	256
EZ-TALK	AGB-A23J-JPN	64	E0	38D91A54	SRAM_V110	256
EZ-TALK	AGB-A24J-JPN	64	DF	5FA07E85	SRAM_V110	256
EZ-TALK	AGB-A25J-JPN	64	DE	0CA6DCF1	SRAM_V110	256
EZ-TALK	AGB-A26J-JPN	64	DD	A0E8EB88	SRAM_V110	256
EZ-TALK	AGB-A27J-JPN	64	DC	A8AB645D	SRAM_V110	256
M&M MAGICAL2	AGB-A29J-JPN	32	F3	BA185AAC	EEPROM_V122	4
DS_BASKET_U	AGB-A2AE-USA	128	7F	80EC6CF0	EEPROM_V122	4
DS_BASKET	AGB-A2AJ-JPN	128	2E	3911B4B6	EEPROM_V122	4
DS_BASKET_E	AGB-A2AP-EUR	128	84	D6D89F81	EEPROM_V122	4
BUBBLEBOBBLE	AGB-A2BJ-JPN	32	7D	CC476F91	EEPROM_V122	4
CASTLEVANIA2	AGB-A2CE-USA	64	84	35536183	SRAM_F_V102	256
CASTLEVANIA2	AGB-A2CJ-JPN	64	62	58924D82	SRAM_F_V102	256
CASTLEVANIA2	AGB-A2CP-EUR	64	79	9B0B637D	SRAM_F_V102	256
DARIUS R	AGB-A2DJ-JPN	32	9E	C0A01CAA	EEPROM_V122	4
DEFENDER	AGB-A2FE-USA	32	9D	2E271C13	EEPROM_V122	4
DEFENDER	AGB-A2FP-EUR	32	92	3B86FDC4	EEPROM_V122	4
GT ADVANCE 3	AGB-A2GE-USA	64	E3	130E73A5	EEPROM_V122	4
ADVANCE GT2	AGB-A2GJ-JPN	64	E0	87BBD26F	EEPROM_V122	64
GT ADVANCE 3	AGB-A2GP-EUR	64	D8	03898E7F	EEPROM_V122	4
HAJIMENOIPPO	AGB-A2HJ-JPN	64	4C	BFF5F2DA	EEPROM_V122	64
MAGINATION	AGB-A2IJ-JPN	64	EA	6A94531B	EEPROM_V120	64
JWEA2002	AGB-A2JJ-JPN	64	CD	934CBD1C	EEPROM_V121	64
SPYKIDSCHALL	AGB-A2KE-USA	32	3E	E8227E41	EEPROM_V120	4
LEGENDS OF W	AGB-A2LE-USA	64	B9	84440066	EEPROM_V122	4
MADDEN NFL02	AGB-A2ME-USA	32	D2	8E797ECD	EEPROM_V122	4
SONICADVANC2	AGB-A2NE-USA	128	81	7EFEE7F7	FLASH512_V130	512
SONICADVANC2	AGB-A2NJ-JPN	128	63	513804FF	FLASH512_V130	512
SONIC ADVANC	AGB-A2NP-EUR	128	6F	89509891	FLASH512_V130	512
K-1POCKE_GP2	AGB-A2OJ-JPN	64	8D	19FDE4C8	EEPROM_V122	64
MONSTERRANC2	AGB-A2QE-USA	64	4F	1D695B1B	SRAM_F_V102	256
MONSTERFARM2	AGB-A2QJ-JPN	64	48	1B14CF53	SRAM_F_V102	256
BRATZ	AGB-A2RE-USA	32	5F	21E5A010	EEPROM_V122	4
BRATZ	AGB-A2RP-EUR	32	54	B30241E2	EEPROM_V122	4
SPYRO 2	AGB-A2SE-USA	64	DC	37E120E7	EEPROM_V122	64
SPYRO 2	AGB-A2SP-EUR	64	D1	104B4CAA	EEPROM_V122	64
PINBALL TYCN	AGB-A2TE-USA	32	61	1C4D3FDF		
PINBALL TYCN	AGB-A2TP-EUR	32	4E	5D52BE1E		
MOTHER12	AGB-A2UJ-JPN	128	AC	0A44569C	SRAM_V112	256
GURUMI	AGB-A2VJ-JPN	64	D7	34D65C0B	EEPROM_V122	64
STAR WARS: T	AGB-A2WE-USA	64	8E	59C52F98		
STAR WARS: T	AGB-A2WP-EUR	64	83	677854AF		
MX 2002	AGB-A2XE-USA	32	49	0BF1DC56		
TOPGUN CZ	AGB-A2YE-USA	32	40	DFC88D3E	SRAM_V113	256
BOYSSOCCER#2	AGB-A2ZJ-JPN	64	63	268F9C7E	FLASH_V126	512
LODE RUNNER	AGB-A39J-JPN	32	96	3E2CF3FF	EEPROM_V122	4
SUPER MARIOC	AGB-A3AC-CHN	32	58	9C32A829	EEPROM_V122	64
SUPER MARIOC	AGB-A3AE-USA	32	8C	74184165	EEPROM_V122	64
SUPER MARIOC	AGB-A3AJ-JPN	32	87	83CD6C49	EEPROM_V122	64
SUPER MARIOC	AGB-A3AP-EUR	64	81	639E9D3B	EEPROM_V122	64
SABRINA-THE	AGB-A3BE-USA	32	E3	E0DE60D7		
SABRINA-THE	AGB-A3BP-EUR	32	D8	CAA8225B		
CRAZY TAXI C	AGB-A3CE-USA	64	A4	8EC709D6	EEPROM_V122	4
CRAZY TAXI C	AGB-A3CP-EUR	64	80	4AEBD704	EEPROM_V122	4
